nombre,consola,precio,ubicacion,genero,anio,stock,vendedor
Resident Evil 4,PS4,25.99,Santiago,Terror,2005,3,vendedor1
The Last of Us,PS5,30.50,Valparaiso,Aventura,2013,5,vendedor2
Mario Kart 8,Switch,45.00,Concepcion,Carreras,2017,4,vendedor3
Halo Infinite,Xbox,40.00,Antofagasta,Accion,2021,6,vendedor1
Final Fantasy XV,PS4,22.90,Santiago,RPG,2016,2,vendedor2
Super Smash Bros Ultimate,Switch,49.99,Temuco,Peleas,2018,5,vendedor3
God of War Ragnarok,PS5,55.00,La Serena,Accion,2022,3,vendedor2
Gears 5,Xbox,35.50,Arica,Accion,2019,4,vendedor1
Animal Crossing New Horizons,Switch,39.99,Rancagua,Simulacion,2020,7,vendedor3
Cyberpunk 2077,PS4,29.99,Santiago,Accion,2020,5,vendedor1
FIFA 23,PS5,49.90,Valdivia,Deportes,2022,6,vendedor2
Horizon Forbidden West,PS5,52.00,Coquimbo,Aventura,2022,3,vendedor3
The Legend of Zelda BOTW,Switch,50.00,Talca,Aventura,2017,4,vendedor3
Call of Duty Modern Warfare,Xbox,44.50,Iquique,Shooter,2019,3,vendedor1
Gran Turismo 7,PS5,46.00,Punta Arenas,Carreras,2022,2,vendedor2
